dataset_conf_id,ndpso_avg_time,ndpso_avg_map_time,ndpso_avg_span,ndpso_avg_start_conv_iter,ndpso_avg_end_conv_iter,ndpso_avg_time_per_loop,ndpso_avg_min_time_to_conv,sfms_span,sfms_time,span_impr_perc_avg,time_impr_perc_avg,time_impr_perc_min_conv_avg,time_span_90_10,time_span_80_20,time_span_70_30,time_span_60_40,time_span_50_50,time_span_40_60,time_span_30_70,time_span_20_80,time_span_10_90,time_span_min_conv_90_10,time_span_min_conv_80_20,time_span_min_conv_70_30,time_span_min_conv_60_40,time_span_min_conv_50_50,time_span_min_conv_40_60,time_span_min_conv_30_70,time_span_min_conv_20_80,time_span_min_conv_10_90
1,44.2000,0.0000,0.33333333333333337,0.0000,100.0000,0.44200000,0.44200000,0.33333333333333337,2.0000,0,91.86897000,-95.00000000,82.682073,73.495176,64.308279,55.121382,45.934485,36.747588,27.560691,18.373794,9.186897,-85.5,-76,-66.5,-57,-47.5,-38,-28.5,-19,-9.5
2,41.1000,0.0000,0.14336917562724014,0.0000,100.0000,0.41100000,0.41100000,0.14336917562724014,1.0000,0,95.47417000,-90.00000000,85.926753,76.379336,66.831919,57.284502,47.737085,38.189668,28.642251,19.094834,9.547417,-81,-72,-63,-54,-45,-36,-27,-18,-9
3,20.1000,0.0000,0.03155339805825242,0.0000,100.0000,0.20100000,0.20100000,0.03155339805825242,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
4,18.4000,0.0000,0.5955882352941176,0.0000,100.0000,0.18400000,0.18400000,0.5955882352941176,1.0000,0,94.54613000,-100.00000000,85.091517,75.636904,66.182291,56.727678,47.273065,37.818452,28.363839,18.909226,9.454613,-90,-80,-70,-60,-50,-40,-30,-20,-10
5,19.5000,0.0000,0.29151291512915123,0.0000,100.0000,0.19500000,0.19500000,0.29151291512915123,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
6,17.6000,0.0000,0.23855421686746986,0.0000,100.0000,0.17600000,0.17600000,0.23855421686746986,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
7,17.4000,0.0000,1.0078740157480315,0.0000,100.0000,0.17400000,0.17400000,1.0078740157480315,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
8,19.6000,0.0000,0.24542124542124538,0.0000,100.0000,0.19600000,0.19600000,0.24542124542124538,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
9,18.7000,0.0000,0.048780487804878044,0.0000,100.0000,0.18700000,0.18700000,0.048780487804878044,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
10,35.6000,0.0000,0.36956521739130427,0.0000,100.0000,0.35600000,0.35600000,0.36956521739130427,1.0000,0,97.19048000,-100.00000000,87.471432,77.752384,68.033336,58.314288,48.59524,38.876192,29.157144,19.438096,9.719048,-90,-80,-70,-60,-50,-40,-30,-20,-10
11,31.8000,0.0000,0.03018867924528302,0.0000,100.0000,0.31800000,0.31800000,0.03018867924528302,1.0000,0,96.85484000,-100.00000000,87.169356,77.483872,67.798388,58.112904,48.42742,38.741936,29.056452,19.370968,9.685484,-90,-80,-70,-60,-50,-40,-30,-20,-10
12,33.7000,0.0000,0.042857142857142864,0.0000,100.0000,0.33700000,0.33700000,0.042857142857142864,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
13,32.8000,0.0000,0.6592592592592591,0.0000,100.0000,0.32800000,0.32800000,0.6592592592592591,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
14,32.4000,0.0000,0.46311475409836067,0.0000,100.0000,0.32400000,0.32400000,0.46311475409836067,0.0000,0,100.00000000,0.00000000,90,80,70,60,50,40,30,20,10,0,0,0,0,0,0,0,0,0
15,35.0000,0.1000,0.33656174334140443,0.0000,100.0000,0.35000000,0.35000000,0.33656174334140443,1.0000,0,97.14146000,-100.00000000,87.427314,77.713168,67.999022,58.284876,48.57073,38.856584,29.142438,19.428292,9.714146,-90,-80,-70,-60,-50,-40,-30,-20,-10
