"id";"dataset_constants";"task_hetero";"machine_hetero";"no_tasks_dist";"no_tasks";"no_machines_dist";"no_machines"
1;1;"low";"low";"low";2;"low";25
2;1;"low";"medium";"low";2;"low";25
3;1;"low";"high";"low";2;"low";25
4;1;"medium";"low";"low";2;"low";25
5;1;"medium";"medium";"low";2;"low";25
6;1;"medium";"high";"low";2;"low";25
7;1;"high";"low";"low";2;"low";25
8;1;"high";"medium";"low";2;"low";25
9;1;"high";"high";"low";2;"low";25
10;1;"low";"low";"low";2;"medium";57
11;1;"low";"medium";"low";2;"medium";57
12;1;"low";"high";"low";2;"medium";57
13;1;"medium";"low";"low";2;"medium";57
14;1;"medium";"medium";"low";2;"medium";57
15;1;"medium";"high";"low";2;"medium";57
16;1;"high";"low";"low";2;"medium";57
17;1;"high";"medium";"low";2;"medium";57
18;1;"high";"high";"low";2;"medium";57
19;1;"low";"low";"low";2;"high";68
20;1;"low";"medium";"low";2;"high";68
21;1;"low";"high";"low";2;"high";68
22;1;"medium";"low";"low";2;"high";68
23;1;"medium";"medium";"low";2;"high";68
24;1;"medium";"high";"low";2;"high";68
25;1;"high";"low";"low";2;"high";68
26;1;"high";"medium";"low";2;"high";68
27;1;"high";"high";"low";2;"high";68
28;1;"low";"low";"medium";3;"low";13
29;1;"low";"medium";"medium";3;"low";13
30;1;"low";"high";"medium";3;"low";13
31;1;"medium";"low";"medium";3;"low";13
32;1;"medium";"medium";"medium";3;"low";13
33;1;"medium";"high";"medium";3;"low";13
34;1;"high";"low";"medium";3;"low";13
35;1;"high";"medium";"medium";3;"low";13
36;1;"high";"high";"medium";3;"low";13
37;1;"low";"low";"medium";3;"medium";76
38;1;"low";"medium";"medium";3;"medium";76
39;1;"low";"high";"medium";3;"medium";76
40;1;"medium";"low";"medium";3;"medium";76
41;1;"medium";"medium";"medium";3;"medium";76
42;1;"medium";"high";"medium";3;"medium";76
43;1;"high";"low";"medium";3;"medium";76
44;1;"high";"medium";"medium";3;"medium";76
45;1;"high";"high";"medium";3;"medium";76
46;1;"low";"low";"medium";3;"high";80
47;1;"low";"medium";"medium";3;"high";80
48;1;"low";"high";"medium";3;"high";80
49;1;"medium";"low";"medium";3;"high";80
50;1;"medium";"medium";"medium";3;"high";80
51;1;"medium";"high";"medium";3;"high";80
52;1;"high";"low";"medium";3;"high";80
53;1;"high";"medium";"medium";3;"high";80
54;1;"high";"high";"medium";3;"high";80
55;1;"low";"low";"high";6;"low";20
56;1;"low";"medium";"high";6;"low";20
57;1;"low";"high";"high";6;"low";20
58;1;"medium";"low";"high";6;"low";20
59;1;"medium";"medium";"high";6;"low";20
60;1;"medium";"high";"high";6;"low";20
61;1;"high";"low";"high";6;"low";20
62;1;"high";"medium";"high";6;"low";20
63;1;"high";"high";"high";6;"low";20
