dataset_conf_id,iter_no,time,span
1,0,2,NULL
2,0,2,NULL
3,0,1,NULL
4,0,4,NULL
5,0,0,NULL
6,0,1,NULL
7,0,0,NULL
8,0,0,NULL
9,0,1,NULL
10,0,1,NULL
11,0,0,NULL
12,0,1,NULL
13,0,0,NULL
14,0,0,NULL
15,0,0,NULL
16,0,1,NULL
17,0,1,NULL
18,0,0,NULL
19,0,0,NULL
20,0,1,NULL
21,0,1,NULL
22,0,0,NULL
23,0,1,NULL
24,0,1,NULL
25,0,1,NULL
26,0,1,NULL
27,0,0,NULL
28,0,0,NULL
29,0,0,NULL
30,0,0,NULL
31,0,1,NULL
32,0,0,NULL
33,0,0,NULL
34,0,1,NULL
35,0,0,NULL
36,0,0,NULL
37,0,1,NULL
38,0,1,NULL
39,0,1,NULL
40,0,0,NULL
41,0,0,NULL
42,0,0,NULL
43,0,1,NULL
44,0,1,NULL
45,0,1,NULL
46,0,1,NULL
47,0,1,NULL
48,0,1,NULL
49,0,1,NULL
50,0,1,NULL
51,0,0,NULL
52,0,1,NULL
53,0,0,NULL
54,0,1,NULL
55,0,0,NULL
56,0,0,NULL
57,0,0,NULL
58,0,0,NULL
59,0,0,NULL
60,0,0,NULL
61,0,0,NULL
62,0,0,NULL
63,0,0,NULL
64,0,0,NULL
65,0,1,NULL
66,0,0,NULL
67,0,0,NULL
68,0,1,NULL
69,0,0,NULL
70,0,1,NULL
71,0,1,NULL
72,0,0,NULL
73,0,0,NULL
74,0,0,NULL
75,0,1,NULL
76,0,0,NULL
77,0,0,NULL
78,0,0,NULL
79,0,0,NULL
80,0,0,NULL
81,0,1,NULL
91,0,2,2.6030927835051547
92,0,0,NULL
93,0,0,NULL
94,0,0,NULL
95,0,0,NULL
96,0,0,NULL
97,0,0,NULL
98,0,0,NULL
99,0,0,NULL
100,0,0,NULL
101,0,0,NULL
102,0,0,NULL
103,0,0,NULL
104,0,0,NULL
105,0,0,NULL
106,0,0,NULL
107,0,0,NULL
108,0,0,NULL
109,0,0,NULL
110,0,1,NULL
111,0,0,NULL
112,0,1,NULL
113,0,0,NULL
114,0,0,NULL
115,0,0,NULL
116,0,0,NULL
117,0,0,NULL
118,0,1,NULL
119,0,0,NULL
120,0,0,NULL
121,0,0,NULL
122,0,0,NULL
123,0,0,NULL
124,0,0,NULL
125,0,0,NULL
126,0,0,NULL
127,0,0,NULL
128,0,0,NULL
129,0,0,NULL
130,0,0,NULL
131,0,0,NULL
132,0,0,NULL
133,0,0,NULL
134,0,1,NULL
135,0,0,NULL
145,0,0,NULL
146,0,0,NULL
147,0,0,NULL
148,0,0,NULL
