"dataset_conf_id";"machine_id";"speed"
1;0;112
1;1;92
1;2;84
1;3;85
1;4;49
1;5;3
1;6;24
1;7;103
1;8;86
1;9;47
1;10;135
1;11;135
1;12;39
1;13;109
1;14;87
1;15;38
1;16;20
1;17;44
1;18;105
1;19;97
1;20;72
1;21;41
1;22;19
1;23;117
1;24;76
2;0;179
2;1;139
2;2;267
2;3;228
2;4;151
2;5;76
2;6;62
2;7;60
2;8;10
2;9;45
2;10;32
2;11;277
2;12;74
2;13;8
2;14;178
2;15;14
2;16;279
2;17;94
2;18;187
2;19;150
2;20;229
2;21;69
2;22;172
2;23;143
2;24;211
3;0;88
3;1;367
3;2;163
3;3;302
3;4;394
3;5;323
3;6;108
3;7;172
3;8;42
3;9;268
3;10;380
3;11;269
3;12;165
3;13;150
3;14;307
3;15;57
3;16;124
3;17;210
3;18;405
3;19;412
3;20;159
3;21;56
3;22;368
3;23;317
3;24;196
4;0;113
4;1;86
4;2;104
4;3;64
4;4;30
4;5;111
4;6;136
4;7;103
4;8;67
4;9;20
4;10;96
4;11;13
4;12;33
4;13;25
4;14;55
4;15;30
4;16;107
4;17;123
4;18;95
4;19;59
4;20;104
4;21;95
4;22;131
4;23;4
4;24;125
5;0;90
5;1;1
5;2;271
5;3;118
5;4;121
5;5;22
5;6;238
5;7;233
5;8;190
5;9;229
5;10;81
5;11;120
5;12;20
5;13;14
5;14;37
5;15;136
5;16;197
5;17;175
5;18;201
5;19;162
5;20;14
5;21;242
5;22;88
5;23;54
5;24;160
6;0;2
6;1;415
6;2;198
6;3;166
6;4;3
6;5;171
6;6;68
6;7;328
6;8;362
6;9;415
6;10;72
6;11;415
6;12;263
6;13;229
6;14;24
6;15;76
6;16;45
6;17;376
6;18;251
6;19;249
6;20;317
6;21;10
6;22;87
6;23;221
6;24;273
7;0;5
7;1;69
7;2;57
7;3;55
7;4;123
7;5;32
7;6;70
7;7;97
7;8;56
7;9;127
7;10;121
7;11;1
7;12;21
7;13;127
7;14;40
7;15;57
7;16;76
7;17;72
7;18;56
7;19;70
7;20;83
7;21;37
7;22;95
7;23;111
7;24;64
8;0;15
8;1;238
8;2;41
8;3;251
8;4;130
8;5;62
8;6;212
8;7;20
8;8;25
8;9;6
8;10;144
8;11;273
8;12;191
8;13;33
8;14;171
8;15;202
8;16;184
8;17;34
8;18;82
8;19;257
8;20;67
8;21;20
8;22;28
8;23;65
8;24;147
9;0;17
9;1;178
9;2;277
9;3;126
9;4;377
9;5;215
9;6;163
9;7;359
9;8;139
9;9;343
9;10;172
9;11;163
9;12;294
9;13;58
9;14;271
9;15;314
9;16;259
9;17;217
9;18;71
9;19;198
9;20;401
9;21;300
9;22;355
9;23;410
9;24;60
10;0;55
10;1;69
10;2;18
10;3;113
10;4;27
10;5;18
10;6;123
10;7;26
10;8;137
10;9;125
10;10;14
10;11;27
10;12;42
10;13;85
10;14;25
10;15;96
10;16;107
10;17;125
10;18;81
10;19;16
10;20;116
10;21;32
10;22;82
10;23;70
10;24;65
10;25;74
10;26;79
10;27;18
10;28;68
10;29;20
10;30;115
10;31;129
10;32;11
10;33;5
10;34;100
10;35;30
10;36;77
10;37;45
10;38;33
10;39;76
10;40;112
10;41;138
10;42;15
10;43;92
10;44;70
10;45;43
10;46;116
10;47;17
10;48;89
10;49;61
10;50;81
10;51;103
10;52;135
10;53;138
10;54;58
10;55;64
10;56;94
11;0;256
11;1;40
11;2;70
11;3;265
11;4;38
11;5;42
11;6;70
11;7;81
11;8;166
11;9;81
11;10;43
11;11;188
11;12;199
11;13;203
11;14;15
11;15;152
11;16;207
11;17;55
11;18;10
11;19;136
11;20;174
11;21;88
11;22;40
11;23;264
11;24;94
11;25;188
11;26;229
11;27;194
11;28;86
11;29;255
11;30;265
11;31;114
11;32;181
11;33;177
11;34;183
11;35;34
11;36;227
11;37;144
11;38;127
11;39;227
11;40;227
11;41;123
11;42;187
11;43;161
11;44;157
11;45;197
11;46;79
11;47;81
11;48;225
11;49;42
11;50;145
11;51;258
11;52;142
11;53;209
11;54;200
11;55;29
11;56;208
12;0;75
12;1;178
12;2;245
12;3;17
12;4;288
12;5;412
12;6;363
12;7;332
12;8;196
12;9;343
12;10;222
12;11;188
12;12;28
12;13;231
12;14;84
12;15;375
12;16;60
12;17;287
12;18;306
12;19;241
12;20;332
12;21;276
12;22;365
12;23;38
12;24;392
12;25;401
12;26;351
12;27;257
12;28;176
12;29;363
12;30;119
12;31;113
12;32;100
12;33;368
12;34;296
12;35;216
12;36;314
12;37;409
12;38;85
12;39;47
12;40;361
12;41;143
12;42;251
12;43;66
12;44;169
12;45;384
12;46;101
12;47;62
12;48;420
12;49;390
12;50;176
12;51;232
12;52;126
12;53;297
12;54;403
12;55;74
12;56;149
13;0;125
13;1;113
13;2;108
13;3;107
13;4;96
13;5;30
13;6;66
13;7;26
13;8;88
13;9;105
13;10;130
13;11;76
13;12;5
13;13;116
13;14;93
13;15;44
13;16;114
13;17;126
13;18;3
13;19;80
13;20;130
13;21;120
13;22;53
13;23;87
13;24;135
13;25;72
13;26;57
13;27;125
13;28;55
13;29;71
13;30;133
13;31;127
13;32;130
13;33;104
13;34;127
13;35;47
13;36;62
13;37;8
13;38;78
13;39;103
13;40;34
13;41;51
13;42;115
13;43;61
13;44;83
13;45;59
13;46;19
13;47;117
13;48;66
13;49;61
13;50;60
13;51;43
13;52;92
13;53;125
13;54;119
13;55;55
13;56;108
14;0;127
14;1;232
14;2;71
14;3;193
14;4;16
14;5;199
14;6;76
14;7;244
14;8;58
14;9;103
14;10;197
14;11;213
14;12;45
14;13;69
14;14;166
14;15;215
14;16;79
14;17;115
14;18;137
14;19;151
14;20;143
14;21;153
14;22;123
14;23;233
14;24;183
14;25;85
14;26;45
14;27;29
14;28;195
14;29;159
14;30;21
14;31;225
14;32;250
14;33;101
14;34;97
14;35;160
14;36;152
14;37;102
14;38;96
14;39;176
14;40;165
14;41;138
14;42;189
14;43;57
14;44;222
14;45;94
14;46;225
14;47;186
14;48;46
14;49;94
14;50;115
14;51;101
14;52;240
14;53;90
14;54;198
14;55;186
14;56;212
15;0;49
15;1;20
15;2;17
15;3;198
15;4;165
15;5;74
15;6;229
15;7;159
15;8;129
15;9;344
15;10;12
15;11;139
15;12;5
15;13;226
15;14;62
15;15;193
15;16;131
15;17;173
15;18;187
15;19;169
15;20;209
15;21;81
15;22;192
15;23;116
15;24;375
