#dataset,iter_no,mypso,ndpso
1,0,0.7058823529,0.3333333333
1,1,0.1224491027,0.3333333333
1,2,0.5357142857,0.3333333333
1,3,0.652173913,0.3333333333
1,4,1.2244897959,0.3333333333
1,5,0.103448354,0.3333333333
1,6,0.6976744186,0.3333333333
1,7,0.5357142857,0.3333333333
1,8,0.5504587156,0.3333333333
1,9,0.1221995946,0.3333333333
2,0,0.2960893855,0.1433691756
2,1,0.6973684211,0.1433691756
2,2,0.297752809,0.1433691756
2,3,0.3509933775,0.1433691756
2,4,0.2960893855,0.1433691756
2,5,0.297752809,0.1433691756
2,6,0.297752809,0.1433691756
2,7,0.1305418719,0.1433691756
2,8,0.0384059972,0.1433691756
2,9,0.2511848341,0.1433691756
3,0,0.0380434783,0.0315533981
3,1,0.038147139,0.0315533981
3,2,0.0053039488,0.0315533981
3,3,0.003959532,0.0315533981
3,4,0.0051851977,0.0315533981
3,5,0.038147139,0.0320987654
3,6,0.0355329949,0.0315533981
3,7,0.0056758661,0.0315533981
3,8,0.0046911331,0.0320987654
3,9,0.0082015413,0.0315533981
4,0,1.12,0.5955882353
4,1,1.3461538462,0.5955882353
4,2,1.308411215,0.6183206107
4,3,1.3461538462,0.5955882353
4,4,1.308411215,0.5955882353
4,5,1.4736842105,0.5955882353
4,6,2.0895522388,0.6183206107
4,7,1.3461538462,0.5955882353
4,8,1.12,0.5955882353
4,9,0.1624004149,0.5955882353
5,0,0.7714285714,0.2915129151
5,1,0.6852791878,0.2915129151
5,2,1.6666666667,0.2915129151
5,3,0.7105263158,0.326446281
5,4,1.1157024793,0.2915129151
5,5,0.84375,0.2915129151
5,6,0.7105263158,0.2915129151
5,7,0.8333333333,0.2915129151
5,8,0.7105263158,0.2915129151
5,9,0.7105263158,0.2915129151
6,0,0.8795180723,0.2385542169
6,1,1.6781609195,0.2385542169
6,2,0.8538011696,0.2385542169
6,3,0.5816733068,0.2385542169
6,4,0.7373737374,0.2385542169
6,5,0.5863453815,0.2385542169
6,6,0.8538011696,0.2385542169
6,7,0.4451219512,0.2385542169
6,8,0.8795180723,0.2385542169
6,9,0.5816733068,0.2385542169
7,0,2.96875,1.0078740157
7,1,2.7536231884,1.0078740157
7,2,2.7142857143,1.0078740157
7,3,3.3333333333,1.0078740157
7,4,3.3928571429,1.0078740157
7,5,2.7536231884,1.0078740157
7,6,1.7117117117,1.0078740157
7,7,2.96875,1.0078740157
7,8,1.5447154472,1.0078740157
7,9,3.3333333333,1.0078740157
8,0,0.512605042,0.2607003891
8,1,0.9384615385,0.2454212454
8,2,0.512605042,0.2454212454
8,3,0.6630434783,0.2454212454
8,4,0.512605042,0.2454212454
8,5,0.1484184915,0.2607003891
8,6,1.487804878,0.2454212454
8,7,0.603960396,0.2454212454
8,8,0.8299319728,0.2454212454
8,9,0.1603153745,0.2454212454
9,0,0.0974930362,0.0487804878
9,1,0.0853658537,0.0487804878
9,2,0.0153725342,0.0487804878
9,3,0.0985915493,0.0487804878
9,4,0.1020408163,0.0487804878
9,5,0.0872817955,0.0487804878
9,6,0.0985915493,0.0487804878
9,7,0.1767676768,0.0487804878
9,8,0.1263537906,0.0487804878
9,9,0.0125422663,0.0487804878
10,0,1.2307692308,0.3695652174
10,1,1.25,0.3695652174
10,2,1.8604651163,0.3695652174
10,3,1.3793103448,0.3695652174
10,4,1.3114754098,0.3695652174
10,5,1.3114754098,0.3695652174
10,6,1.25,0.3695652174
10,7,1.2307692308,0.3695652174
10,8,1.1594202899,0.3695652174
10,9,1.3793103448,0.3695652174
11,0,0.0559006211,0.0301886792
11,1,0.0542168675,0.0301886792
11,2,0.0731707317,0.0301886792
11,3,0.0957446809,0.0301886792
11,4,0.0517241379,0.0301886792
11,5,0.0573248408,0.0301886792
11,6,0.0661764706,0.0301886792
11,7,0.0625,0.0301886792
11,8,0.0731707317,0.0301886792
11,9,0.0708661417,0.0301886792
12,0,0.1111111111,0.0448877805
12,1,0.1422413793,0.0428571429
12,2,0.1346938776,0.0428571429
12,3,0.1952662722,0.0428571429
12,4,0.1314741036,0.0428571429
12,5,0.1683673469,0.0428571429
12,6,0.1875,0.0436893204
12,7,0.1428571429,0.0436893204
12,8,0.1486486486,0.0428571429
12,9,0.1486486486,0.0436893204
13,0,2.0491803279,0.6691729323
13,1,1.8939393939,0.6592592593
13,2,1.6447368421,0.6592592593
13,3,2.9069767442,0.6592592593
13,4,1.7605633803,0.6592592593
13,5,2.2727272727,0.6592592593
13,6,2.8409090909,0.6592592593
13,7,2.2727272727,0.6592592593
13,8,2.8409090909,0.6846153846
13,9,2.0161290323,0.6592592593
14,0,1.2204301075,0.4631147541
14,1,1.41875,0.4913793103
14,2,1.6569343066,0.4672131148
14,3,2.2254901961,0.4672131148
14,4,1.152284264,0.4672131148
14,5,1.6569343066,0.475
14,6,1.4836601307,0.475
14,7,1.7874015748,0.4631147541
14,8,1.5033112583,0.4892703863
14,9,1.427672956,0.4672131148
15,0,2.1590909091,0.3365617433
15,1,1.9191919192,0.3365617433
15,2,2.1590909091,0.3365617433
15,3,2.1590909091,0.3365617433
15,4,1.6379310345,0.3648293963
15,5,3.8775510204,0.3365617433
15,6,1.9191919192,0.3365617433
15,7,4.0425531915,0.3365617433
15,8,2.676056338,0.3483709273
15,9,1.9191919192,0.3365617433
16,0,5.3125,1.648
16,1,5.8620689655,1.775862069
16,2,4.4736842105,1.6612903226
16,3,5.3125,1.648
16,4,6.1818181818,1.6612903226
16,5,6.9387755102,1.648
16,6,5.8620689655,1.6612903226
16,7,6.9387755102,1.6612903226
16,8,6.1818181818,1.648
16,9,5.3125,1.648
17,0,5.5,0.7463768116
17,1,3.3762376238,0.7463768116
17,2,2.9912280702,0.7463768116
17,3,1.9941520468,0.7463768116
17,4,4.3717948718,0.7463768116
17,5,2.288590604,0.7463768116
17,6,2.8416666667,0.7463768116
17,7,3.4795918367,0.7463768116
17,8,1.7947368421,0.7463768116
17,9,5.9824561404,0.7463768116
18,0,1.0132450331,0.2547619048
18,1,0.5503597122,0.2547619048
18,2,0.8360655738,0.2547619048
18,3,0.7427184466,0.2547619048
18,4,0.9622641509,0.2547619048
18,5,0.714953271,0.2547619048
18,6,0.5543478261,0.2547619048
18,7,0.9622641509,0.2547619048
18,8,0.9622641509,0.2547619048
18,9,0.714953271,0.2547619048
19,0,1.4444444444,0.3649635036
19,1,1.4772727273,0.3649635036
19,2,1.2264150943,0.3649635036
19,3,1.2745098039,0.3649635036
19,4,1.4444444444,0.3649635036
19,5,2.2413793103,0.3649635036
19,6,1.2745098039,0.3759398496
19,7,1.0655737705,0.3759398496
19,8,1.2745098039,0.3759398496
19,9,1.1818181818,0.3649635036
20,0,0.2747252747,0.0659340659
20,1,0.2777777778,0.0659340659
20,2,0.2403846154,0.0647482014
20,3,0.2403846154,0.0679245283
20,4,0.2212389381,0.0659340659
20,5,0.2212389381,0.0647482014
20,6,0.2777777778,0.0647482014
20,7,0.2212389381,0.0659340659
20,8,0.2577319588,0.0647482014
20,9,0.1700680272,0.0659340659
21,0,0.4958677686,0.1317073171
21,1,0.4137931034,0.1317073171
21,2,0.2654867257,0.1317073171
21,3,0.3296703297,0.1317073171
21,4,0.3550295858,0.137755102
21,5,0.3797468354,0.1317073171
21,6,0.3,0.1317073171
21,7,0.2362204724,0.1317073171
21,8,0.2222222222,0.1374045802
