ds,it,ndpso_time,fairspan_time
1,0,3588,2
1,1,869,2
1,2,825,2
1,3,769,2
1,4,771,2
1,5,879,2
1,6,838,2
1,7,755,2
1,8,754,2
1,9,738,2
2,0,3669,2
2,1,844,2
2,2,754,2
2,3,923,2
2,4,896,2
2,5,1037,2
2,6,837,2
2,7,914,2
2,8,783,2
2,9,789,2
3,0,3815,1
3,1,1100,1
3,2,1019,1
3,3,916,1
3,4,868,1
3,5,857,1
3,6,921,1
3,7,778,1
3,8,763,1
3,9,757,1
4,0,3361,4
4,1,682,4
4,2,987,4
4,3,1035,4
4,4,1103,4
4,5,756,4
4,6,1068,4
4,7,1006,4
4,8,940,4
4,9,783,4
5,0,3393,0
5,1,756,0
5,2,719,0
5,3,1047,0
5,4,1212,0
5,5,831,0
5,6,710,0
5,7,1036,0
5,8,968,0
5,9,745,0
6,0,3468,1
6,1,835,1
6,2,729,1
6,3,1020,1
6,4,1207,1
6,5,931,1
6,6,785,1
6,7,845,1
6,8,741,1
6,9,661,1
7,0,3753,0
7,1,885,0
7,2,843,0
7,3,942,0
7,4,889,0
7,5,905,0
7,6,811,0
7,7,843,0
7,8,805,0
7,9,760,0
8,0,1307,0
8,1,780,0
8,2,689,0
8,3,699,0
8,4,700,0
8,5,760,0
8,6,692,0
8,7,762,0
8,8,765,0
8,9,696,0
9,0,812,1
9,1,762,1
9,2,767,1
9,3,778,1
9,4,772,1
9,5,808,1
9,6,790,1
9,7,810,1
9,8,776,1
9,9,811,1
10,0,1551,1
10,1,1460,1
10,2,1483,1
10,3,1388,1
10,4,1555,1
10,5,1521,1
10,6,1426,1
10,7,1547,1
10,8,1502,1
10,9,1537,1
11,0,1305,0
11,1,1373,0
11,2,1417,0
11,3,1288,0
11,4,1347,0
11,5,1350,0
11,6,1346,0
11,7,1438,0
11,8,1406,0
11,9,1267,0
12,0,1332,1
12,1,1475,1
12,2,1515,1
12,3,1405,1
12,4,1461,1
12,5,1448,1
12,6,1468,1
12,7,1437,1
12,8,1482,1
12,9,1444,1
13,0,1381,0
13,1,1338,0
13,2,1367,0
13,3,1443,0
13,4,1443,0
13,5,1473,0
13,6,1328,0
13,7,1396,0
13,8,1452,0
13,9,1332,0
14,0,1399,0
14,1,1447,0
14,2,1416,0
14,3,1376,0
14,4,1385,0
14,5,1458,0
14,6,1467,0
14,7,1386,0
14,8,1412,0
14,9,1362,0
15,0,1508,0
15,1,1541,0
15,2,1590,0
15,3,1464,0
15,4,1487,0
15,5,1508,0
15,6,1629,0
15,7,1472,0
15,8,1532,0
15,9,1529,0
16,0,1527,1
16,1,1280,1
16,2,1351,1
16,3,1484,1
16,4,1370,1
16,5,1459,1
16,6,1435,1
16,7,1404,1
16,8,1545,1
16,9,1500,1
17,0,1478,1
17,1,1367,1
17,2,1501,1
17,3,1384,1
17,4,1454,1
17,5,1440,1
17,6,1400,1
17,7,1322,1
17,8,1353,1
17,9,1368,1
18,0,1539,0
18,1,1464,0
18,2,1514,0
18,3,1406,0
18,4,1536,0
18,5,1453,0
18,6,1465,0
18,7,1443,0
18,8,1539,0
18,9,1417,0
19,0,1753,0
19,1,1696,0
19,2,1597,0
19,3,1678,0
19,4,1676,0
19,5,1732,0
19,6,1515,0
19,7,1677,0
19,8,1597,0
19,9,1679,0
20,0,1528,1
20,1,1635,1
20,2,1537,1
20,3,1491,1
20,4,1554,1
20,5,1646,1
20,6,1585,1
20,7,1640,1
20,8,1664,1
20,9,1762,1
21,0,1806,1
21,1,1819,1
21,2,1759,1
21,3,1691,1
21,4,1655,1
21,5,1674,1
21,6,1702,1
21,7,1740,1
21,8,1728,1
21,9,1729,1
22,0,1672,0
22,1,1707,0
22,2,1634,0
22,3,1749,0
22,4,1791,0
22,5,1621,0
22,6,1486,0
22,7,1722,0
22,8,1551,0
22,9,1552,0
23,0,1735,1
23,1,1637,1
23,2,1741,1
23,3,1795,1
23,4,1708,1
23,5,1753,1
23,6,1643,1
23,7,1639,1
23,8,1803,1
23,9,1790,1
24,0,1570,1
24,1,1640,1
24,2,1760,1
24,3,1597,1
24,4,1742,1
24,5,1629,1
24,6,1759,1
24,7,1745,1
24,8,1755,1
24,9,1587,1
25,0,1566,1
25,1,1419,1
25,2,1465,1
25,3,1429,1
25,4,1635,1
25,5,1434,1
25,6,1699,1
25,7,1661,1
25,8,1681,1
25,9,1499,1
26,0,1614,1
26,1,1532,1
26,2,1676,1
26,3,1469,1
26,4,1726,1
26,5,1486,1
26,6,1584,1
26,7,1528,1
26,8,1736,1
26,9,1617,1
27,0,1715,0
27,1,1775,0
27,2,1660,0
27,3,1726,0
27,4,1712,0
27,5,1773,0
27,6,1865,0
27,7,1724,0
27,8,1753,0
27,9,1632,0
28,0,636,0
28,1,616,0
28,2,608,0
28,3,643,0
28,4,620,0
28,5,607,0
28,6,621,0
28,7,590,0
28,8,576,0
28,9,623,0
29,0,654,0
29,1,634,0
29,2,638,0
29,3,642,0
29,4,657,0
29,5,637,0
29,6,664,0
29,7,652,0
29,8,627,0
29,9,634,0
30,0,590,0
30,1,635,0
30,2,652,0
30,3,660,0
30,4,639,0
30,5,638,0
30,6,653,0
30,7,687,0
30,8,627,0
30,9,665,0
31,0,646,1
31,1,638,1
31,2,649,1
31,3,628,1
31,4,635,1
31,5,641,1
31,6,642,1
31,7,631,1
31,8,642,1
31,9,631,1
32,0,638,0
32,1,638,0
32,2,663,0
32,3,674,0
32,4,655,0
32,5,644,0
32,6,649,0
32,7,620,0
32,8,620,0
32,9,630,0
33,0,720,0
