#id,fairspan_max_span,ndpso_avg_max_span,ndpso_min_max_span,ndpso_max_max_span,fairspan_total_time,ndpso_avg_pre_time,ndpso_min_pre_time,ndpso_max_pre_time,ndpso_avg_post_time,ndpso_min_post_time,ndpso_max_post_time,ndpso_avg_total_time,ndpso_amin_total_time,ndpso_max_total_time
1,0.3333333333,0.3333333333,0.3333333333,0.3333333333,2,1131.5,847,3377,0,0,0,1131.5,847,3377
2,0.1433691756,0.1433691756,0.1433691756,0.1433691756,1,1221.1,865,4009,0.1,0,1,1221.2,865,4009
3,0.0315533981,0.0315533981,0.0315533981,0.0315533981,0,931.3,901,970,0,0,0,931.3,901,970
4,0.5955882353,0.6024079479,0.5955882353,0.6183206107,1,874.7,813,954,0,0,0,874.7,813,954
5,0.2915129151,0.2915129151,0.2915129151,0.2915129151,0,899.9,818,1200,0,0,0,899.9,818,1200
6,0.2385542169,0.2385542169,0.2385542169,0.2385542169,0,914.4,840,1225,0,0,0,914.4,840,1225
7,1.0078740157,1.0078740157,1.0078740157,1.0078740157,0,900.3,835,1075,0,0,0,900.3,835,1075
8,0.2454212454,0.2469491598,0.2454212454,0.2607003891,0,874.2,826,1004,0,0,0,874.2,826,1004
9,0.0487804878,0.0488899702,0.0487804878,0.0498753117,0,922.7,896,949,0,0,0,922.7,896,949
10,0.3695652174,0.3695652174,0.3695652174,0.3695652174,1,1747.7,1656,1840,0,0,0,1747.7,1656,1840
11,0.0301886792,0.0301886792,0.0301886792,0.0301886792,1,1694.3,1621,1810,0,0,0,1694.3,1621,1810
12,0.0428571429,0.0431388421,0.0428571429,0.04400978,0,1743.1,1659,1895,0.1,0,1,1743.2,1659,1895
13,0.6592592593,0.6617948718,0.6592592593,0.6846153846,0,1651,1580,1722,0,0,0,1651,1580,1722
14,0.4631147541,0.4778973819,0.4631147541,0.4913793103,0,1649.6,1448,1801,0,0,0,1649.6,1448,1801
15,0.3365617433,0.3377426617,0.3365617433,0.3483709273,1,1744.5,1686,1827,0,0,0,1744.5,1686,1827
16,1.648,1.6546451613,1.648,1.6612903226,0,1711.4,1585,1817,0,0,0,1711.4,1585,1817
17,0.7463768116,0.7503650846,0.7463768116,0.786259542,0,1686.7,1586,1776,0,0,0,1686.7,1586,1776
18,0.2547619048,0.2570433547,0.2547619048,0.2661691542,0,1738.5,1570,1962,0,0,0,1738.5,1570,1962
19,0.3649635036,0.369354042,0.3649635036,0.3759398496,0,1927,1776,2081,0,0,0,1927,1776,2081
20,0.0647482014,0.0651039608,0.0647482014,0.0659340659,0,2035.4,1802,3179,0,0,0,2035.4,1802,3179
21,0.1317073171,0.1328818219,0.1317073171,0.137755102,0,2174.6,1923,3189,0,0,0,2174.6,1923,3189
22,0.6861313869,0.6886539287,0.6861313869,0.6911764706,1,2060.1,1840,3107,0,0,0,2060.1,1840,3107
23,0.1433691756,0.1436292843,0.1433691756,0.1454545455,0,2050.1,1792,3012,0,0,0,2050.1,1792,3012
24,0.2725060827,0.2726390125,0.2725060827,0.2731707317,1,2061.8,1870,2521,0,0,0,2061.8,1870,2521
25,1.0364963504,1.0703323629,1.0364963504,1.1181102362,0,1935.9,1730,2261,0,0,0,1935.9,1730,2261
