#dataset_conf_id,iter_no,pso_time,pso_to_task_time,objectives,time,objectives
1,0,9979,0,0.3846153846,3588,0.3333333333
1,1,5932,0,0.5172413793,869,0.3333333333
1,2,5967,0,0.4128440367,825,0.3333333333
1,3,6080,0,0.3333333333,769,0.3333333333
1,4,6177,0,0.3333333333,771,0.3333333333
1,5,5889,0,0.3846153846,879,0.3333333333
1,6,6086,0,0.3333333333,838,0.3333333333
1,7,5909,0,0.3846153846,755,0.3333333333
1,8,5648,0,0.3333333333,754,0.3333333333
1,9,6083,0,0.4017857143,738,0.3333333333
2,0,9712,1,0.1498127341,3669,0.1433691756
2,1,5868,0,0.1433691756,844,0.1433691756
2,2,6192,0,0.2649006623,754,0.1433691756
2,3,5372,0,0.1498127341,923,0.1433691756
2,4,5858,0,0.1746724891,896,0.1433691756
2,5,4521,0,0.2247191011,1037,0.1433691756
2,6,4739,0,0.2234636872,837,0.1433691756
2,7,5778,0,0.1433691756,914,0.1433691756
2,8,5765,0,0.1433691756,783,0.1433691756
2,9,5649,0,0.2139037433,789,0.1433691756
3,0,9963,0,0.0315533981,3815,0.0315533981
3,1,5946,0,0.0315533981,1100,0.0315533981
3,2,6383,0,0.0315533981,1019,0.0315533981
3,3,5832,0,0.0315533981,916,0.0315533981
3,4,5876,0,0.0315533981,868,0.0315533981
3,5,6317,0,0.0315533981,857,0.0320987654
3,6,6081,0,0.0315533981,921,0.0315533981
3,7,5843,0,0.0315533981,778,0.0315533981
3,8,6007,0,0.0315533981,763,0.0320987654
3,9,6077,0,0.0315533981,757,0.0315533981
4,0,9845,0,0.7168141593,3361,0.5955882353
4,1,5816,0,0.7570093458,682,0.5955882353
4,2,5847,0,1.2089552239,987,0.6183206107
4,3,6055,0,1.2089552239,1035,0.5955882353
4,4,6104,0,0.8526315789,1103,0.5955882353
4,5,5780,0,0.7168141593,756,0.5955882353
4,6,6081,0,0.7570093458,1068,0.6183206107
4,7,5712,0,1.2089552239,1006,0.5955882353
4,8,5948,0,0.5955882353,940,0.5955882353
4,9,5534,0,0.7168141593,783,0.5955882353
5,0,9470,0,0.3930348259,3393,0.2915129151
5,1,5710,0,0.3930348259,756,0.2915129151
5,2,5177,0,1.462962963,719,0.2915129151
5,3,4213,0,0.487654321,1047,0.326446281
5,4,5085,0,0.8777777778,1212,0.2915129151
5,5,5669,0,0.4157894737,831,0.2915129151
5,6,5894,0,0.4157894737,710,0.2915129151
5,7,5792,0,0.652892562,1036,0.2915129151
5,8,5907,0,0.487654321,968,0.2915129151
5,9,5725,0,0.3319327731,745,0.2915129151
6,0,9763,0,0.5789473684,3468,0.2385542169
6,1,5448,0,0.3944223108,835,0.2385542169
