############### MYPSO better or equal to NDPSO ###############

######## For datasets with tasks are less than machines ########
]low_bound	high_bound]	No	Perc2tlm	Per2ds
0	0	9621	23.239130	12.726190
0	10	952	2.299517	1.259259
10	20	201	0.485507	0.265873
20	30	40	0.096618	0.052910
30	40	1	0.002415	0.001323
######## For datasets with tasks equal to machines ########
]low_bound	high_bound]	No	Perc2tem	Per2ds
0	0	1031	60.292398	1.363757
0	10	85	4.970760	0.112434
10	20	41	2.397661	0.054233
20	30	4	0.233918	0.005291
30	40	0	0.000000	0.000000
######## For datasets with tasks greater than machines ########
]low_bound	high_bound]	No	Perc2tgm	Per2ds
0	0	3782	11.640505	5.002646
0	10	5373	16.537396	7.107143
10	20	309	0.951062	0.408730
20	30	23	0.070791	0.030423
30	40	6	0.018467	0.007937
40	50	2	0.006156	0.002646
50	60	3	0.009234	0.003968
60	70	3	0.009234	0.003968
70	80	1	0.003078	0.001323
80	90	2	0.006156	0.002646
90	100	1	0.003078	0.001323
############### NDPSO better or equal to MYPSO ###############

######## For datasets with tasks are less than machines ########
]low_bound	high_bound]	No	Perc2tlm	Per2ds
0	0	0	0.000000	0.000000
0	10	861	2.079710	1.138889
10	20	809	1.954106	1.070106
20	30	802	1.937198	1.060847
30	40	707	1.707729	0.935185
40	50	647	1.562802	0.855820
50	60	686	1.657005	0.907407
60	70	964	2.328502	1.275132
70	80	2046	4.942029	2.706349
80	90	5918	14.294686	7.828042
90	100	17145	41.413043	22.678571
100	110	0	0.000000	0.000000
######## For datasets with tasks equal to machines ########
]low_bound	high_bound]	No	Perc2tem	Per2ds
0	0	0	0.000000	0.000000
0	10	63	3.684211	0.083333
10	20	53	3.099415	0.070106
20	30	52	3.040936	0.068783
30	40	45	2.631579	0.059524
40	50	14	0.818713	0.018519
50	60	10	0.584795	0.013228
60	70	12	0.701754	0.015873
70	80	24	1.403509	0.031746
80	90	116	6.783626	0.153439
90	100	160	9.356725	0.211640
######## For datasets with tasks greater than machines ########
]low_bound	high_bound]	No	Perc2tgm	Per2ds
0	0	0	0.000000	0.000000
0	10	5525	17.005232	7.308201
10	20	2216	6.820560	2.931217
20	30	2206	6.789781	2.917989
30	40	1725	5.309326	2.281746
40	50	1188	3.656510	1.571429
50	60	523	1.609726	0.691799
60	70	220	0.677131	0.291005
70	80	359	1.104955	0.474868
80	90	2600	8.002462	3.439153
90	100	6423	19.769160	8.496032
100	110	0	0.000000	0.000000
