"dataset_conf_id";"task_id";"length"
1;0;45
1;1;15
2;0;40
2;1;13
3;0;1
3;1;13
4;0;59
4;1;81
5;0;56
5;1;79
6;0;47
6;1;99
7;0;128
7;1;62
8;0;55
8;1;67
9;0;15
9;1;20
10;0;29
10;1;51
11;0;1
11;1;8
12;0;15
12;1;18
13;0;89
13;1;36
14;0;114
14;1;113
15;0;139
15;1;51
16;0;206
16;1;134
17;0;206
17;1;135
18;0;46
18;1;107
19;0;15
19;1;50
20;0;18
20;1;7
21;0;6
21;1;54
22;0;54
22;1;94
23;0;40
23;1;17
24;0;112
24;1;92
25;0;142
25;1;113
26;0;134
26;1;101
27;0;54
27;1;16
28;0;45
28;1;60
28;2;32
29;0;64
29;1;56
29;2;5
30;0;69
30;1;11
30;2;15
31;0;77
31;1;98
31;2;129
32;0;141
32;1;112
32;2;77
33;0;19
33;1;54
33;2;126
34;0;126
34;1;89
34;2;14
35;0;18
35;1;194
35;2;212
36;0;47
36;1;140
36;2;111
37;0;37
37;1;45
37;2;9
38;0;16
38;1;60
38;2;48
39;0;36
39;1;7
39;2;18
40;0;30
40;1;66
40;2;51
41;0;55
41;1;60
41;2;99
42;0;133
42;1;20
42;2;107
43;0;173
43;1;157
43;2;30
44;0;199
44;1;61
44;2;115
45;0;151
45;1;106
45;2;123
46;0;30
46;1;64
46;2;56
47;0;28
47;1;15
47;2;45
48;0;11
48;1;43
48;2;48
49;0;62
49;1;54
49;2;42
50;0;139
50;1;11
50;2;118
51;0;84
51;1;70
51;2;63
52;0;116
52;1;190
52;2;180
53;0;25
53;1;109
53;2;158
54;0;4
54;1;167
54;2;26
55;0;54
55;1;24
55;2;33
55;3;56
55;4;61
55;5;15
56;0;48
56;1;64
56;2;17
56;3;20
56;4;38
56;5;59
57;0;40
57;1;41
57;2;16
57;3;31
57;4;43
57;5;26
58;0;99
58;1;22
58;2;115
58;3;60
58;4;95
58;5;91
59;0;80
59;1;45
59;2;90
59;3;34
59;4;66
59;5;115
60;0;93
60;1;141
60;2;58
60;3;4
60;4;21
60;5;79
61;0;163
61;1;213
61;2;201
61;3;139
61;4;120
61;5;8
62;0;129
62;1;55
62;2;195
62;3;179
62;4;194
62;5;117
63;0;128
63;1;210
63;2;91
63;3;174
63;4;192
63;5;106
64;0;19
64;1;19
64;2;41
64;3;43
64;4;69
64;5;1
65;0;41
65;1;67
65;2;37
65;3;10
65;4;31
65;5;46
66;0;44
66;1;38
66;2;41
66;3;6
66;4;21
66;5;31
67;0;24
67;1;108
67;2;89
67;3;42
67;4;111
67;5;108
68;0;30
68;1;48
68;2;75
68;3;13
68;4;62
68;5;43
69;0;56
69;1;69
69;2;106
69;3;136
69;4;137
69;5;135
70;0;180
70;1;168
70;2;72
70;3;157
70;4;57
70;5;118
71;0;29
71;1;165
71;2;190
71;3;90
71;4;96
71;5;68
72;0;91
72;1;69
72;2;33
72;3;121
72;4;170
72;5;180
73;0;14
73;1;14
73;2;41
73;3;35
73;4;32
73;5;42
74;0;25
74;1;10
74;2;70
74;3;53
74;4;61
74;5;66
75;0;48
75;1;5
75;2;20
75;3;66
75;4;55
75;5;2
76;0;17
76;1;52
76;2;101
76;3;45
76;4;4
76;5;136
77;0;89
77;1;76
77;2;22
77;3;3
77;4;2
77;5;12
78;0;53
78;1;41
78;2;52
78;3;9
78;4;115
78;5;107
79;0;89
79;1;62
79;2;169
79;3;54
79;4;99
79;5;83
80;0;200
80;1;153
80;2;73
80;3;213
80;4;162
80;5;38
81;0;131
81;1;119
81;2;16
81;3;133
81;4;118
81;5;121
82;0;22
82;1;60
82;10;6
82;11;187
82;12;58
82;13;135
82;14;109
82;15;113
82;16;26
82;2;25
82;3;71
82;4;79
82;5;126
82;6;131
82;7;115
82;8;47
82;9;24
83;0;76
83;1;39
83;10;109
83;11;178
83;12;57
83;13;41
83;14;155
83;15;45
83;16;42
83;2;25
83;3;104
83;4;182
83;5;112
83;6;144
83;7;90
83;8;172
83;9;123
84;0;63
84;1;117
84;10;147
84;11;112
84;12;133
84;13;66
84;14;81
84;15;68
84;16;76
84;2;131
84;3;81
84;4;101
84;5;100
84;6;78
84;7;17
84;8;155
84;9;52
85;0;71
85;1;73
85;10;1
85;11;203
85;12;115
85;13;109
85;14;97
85;15;284
85;16;58
85;2;354
85;3;244
85;4;336
85;5;349
85;6;320
85;7;354
85;8;118
85;9;45
86;0;352
86;1;36
86;10;93
86;11;311
86;12;205
86;13;103
86;14;167
86;15;271
86;16;325
86;2;189
86;3;105
86;4;163
86;5;210
86;6;32
86;7;137
86;8;171
86;9;207
87;0;246
87;1;259
87;10;84
87;11;243
87;12;253
87;13;360
87;14;204
87;15;45
87;16;175
87;2;197
87;3;355
87;4;121
87;5;80
87;6;215
87;7;218
87;8;339
87;9;107
88;0;184
88;1;134
88;10;42
88;11;190
88;12;57
88;13;196
88;14;224
88;15;532
88;16;461
88;2;555
88;3;364
88;4;567
88;5;202
88;6;81
88;7;304
88;8;487
88;9;144
89;0;6
89;1;137
89;10;409
89;11;374
89;12;124
89;13;78
89;14;18
89;15;363
89;16;355
89;2;74
89;3;248
89;4;504
89;5;50
89;6;140
89;7;375
89;8;191
89;9;267
90;0;467
90;1;567
90;10;370
90;11;268
90;12;514
90;13;263
90;14;91
90;15;488
90;16;546
90;2;7
90;3;53
90;4;26
90;5;93
90;6;103
90;7;164
90;8;535
90;9;323
91;0;71
91;1;85
91;10;172
91;11;185
91;12;19
91;13;149
91;14;177
91;15;167
91;16;184
91;2;35
91;3;151
91;4;64
91;5;137
91;6;119
91;7;94
91;8;7
91;9;7
92;0;166
92;1;21
92;10;181
92;11;7
92;12;52
92;13;114
92;14;10
92;15;68
92;16;50
92;2;183
92;3;6
92;4;68
92;5;20
92;6;47
92;7;72
92;8;106
92;9;51
93;0;24
93;1;188
93;10;93
93;11;157
93;12;13
93;13;145
93;14;122
93;15;165
93;16;67
93;2;122
93;3;108
93;4;149
93;5;93
93;6;180
93;7;48
93;8;16
93;9;174
